"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"56","@hitRECordJoe @hitRECord Now that's what im talking about! #Unity #HumanRightsDay #TheGreatestOfTheseIsLove 🌹",FALSE,0,"hitRECordJoe",2018-12-10 23:07:37,FALSE,"1072265784041197568","1072266616258396160","24807616","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EmilyNi79376491",0,FALSE,FALSE,NA,NA
"57","@hitRECordJoe @hitRECord any advice for a struggling artist?",FALSE,0,"hitRECordJoe",2018-12-10 23:06:45,FALSE,"1072265784041197568","1072266396820758528","24807616","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","catalystmic",0,FALSE,FALSE,NA,NA
"58","Just read through your thread. Made me so happy to hear about your experience on @hitRECord. The whole point is to… https://t.co/zSfZciQW6F",FALSE,116,NA,2018-12-10 23:04:19,TRUE,NA,"1072265784041197568",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hitRECordJoe",10,FALSE,FALSE,NA,NA
"59","@JayhanOfficial @bgegame @hitRECord 👍👍",FALSE,0,"JayhanOfficial",2018-12-10 22:53:18,FALSE,"1072247048546779136","1072263014404055042","1232157763","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PJmiekidzandi",0,FALSE,FALSE,NA,NA
"60","@JayhanOfficial @bgegame @hitRECord https://t.co/cZKDURILjk",FALSE,2,"JayhanOfficial",2018-12-10 22:34:52,FALSE,"1072247048546779136","1072258375390511104","1232157763","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SPD64",0,FALSE,FALSE,NA,NA
"61","@JayhanOfficial @hitRECord @bgegame I can not wait for this 🙌🙌🙌",FALSE,1,"JayhanOfficial",2018-12-10 22:22:55,FALSE,"1072247048546779136","1072255366430384141","1232157763","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ColdFever594",0,FALSE,FALSE,NA,NA
"62","Looking for a voice actor to play a narrator. Script + add'l info here: https://t.co/vKd7WCB3Oy",FALSE,128,NA,2018-12-10 21:03:00,FALSE,NA,"1072235255157964800",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","hitRECordJoe",33,FALSE,FALSE,NA,NA
"63","@daisieapp This is what I am waiting for @garyvee. Being a past contributor to @hitRECord and @Quirky. Not sure if… https://t.co/xbAniqxTNn",FALSE,0,"daisieapp",2018-12-10 20:45:29,TRUE,"1024647175039528960","1072230846650695680","562107776","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","garcia590",0,FALSE,FALSE,NA,NA
"64","Princesslettuce is hyping me up on insta lol 💕❤️🤗 #bge2 #bgegame #hitrecord https://t.co/ASghvJBHej",FALSE,5,NA,2018-12-10 20:36:11,FALSE,NA,"1072228504446664706",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dtakes23",0,FALSE,FALSE,NA,NA
"65","... make a better experience for people who want to come and create in the community. @hitRECord is very special to… https://t.co/LtkSazDSam",FALSE,13,"beckyfinlayson",2018-12-10 19:54:02,TRUE,"1072217542763184128","1072217899702607878","34430641","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","beckyfinlayson",0,FALSE,FALSE,NA,NA
